origin,translation
Casa in soler con casetta a pepian in Calle della morte,house on the ground with a small house in pepian in calle of death
Bottega de Stramazzeri,joiner's workshop
"Casa, primo soler","house, first floor"
Casa a pepian per Carità,house for charity in pepian
Casa Domenical,sunday house
Casa in molte fittanze,house in many leases
casa a pepian e in soler,house in pepian and in soler
"posto del vedello,  disse non pagare niente","place of the calf, said to pay nothing"
Casa con Terren,house with land
bottega serrata tenuta per magazen,closed shop held for storage
ospedale per ricovero marinai,hospital for sailor shelter
2 Magazeni con orto,2 warehouses with garden
Casa in soler in due affittanze,house in sole lease in two rents
altro appartamento di csa,another apartment of house
Casa fatta ospitio,house made hostel
casa e stua,house and stable
Bottega da Botter,botter's workshop
Volta numero 2 Inaffittata,turn number 2 unleased
Apartamento di sopra di detto Palazzo,apartment above said palace
Casa e Bottega dall'Acque,house and shop from the water
Posto vecchio di Gua,old place of gua
Casa a pepian et Bottega da Masteler,house with pepian and shop of masteler
Portion di casa,portion of house
casa pepian detta carità,pepian house called charity
inviamento da caleghe,shipping from shoemakers
Appartamento,apartment
Casa con bottega di tagliapiera et da stramazer,house with stone cutter's shop and joinery
Casa e bottega da Luganegher serata,house and shop from Luganegher closed
Casa e BOttega,house and workshop
Casa con Bottega di Capeler,house with hat shop
"casa in tre soleri, terzo soler","house in three soleri, third soler"
bottega da furtarol vuota,empty furrier's shop
bottega e fonderia da campane,shop and bell foundry
Botegha Pistor unita ad un appartamento in primo soler sopra detta Botegha,pistor shop combined with an apartment on the first floor above said shop
bottega biavariol,biavariol workshop
"bottega a pepian, vuota","pepian shop, empty"
Casa numero due,house number two
volte n. 2,times no. 2
Casa e bottega da luganegher,house and butcher's shop
Volta n° 2,turn n° 2
bottega da acqua vite e casa a pepian,distillery shop and house in pepian
luugazanetto,tenant farmer
Casa a pepian e soffitta,house with pepian and attic
Casa in 4 Solari con fitanze n° 8,house in 4 solari with leases no. 8
Bottega con una volta,shop with a vault
bottega e inviamento di luganegher,shop and shipment of luganegher
Bottega da Favuro,favuro's workshop
Casa a pepian e bottega,house with pepian and shop
Bottega e Volta Inaffittate,unrented shop and vault
altre due case vuote,two more empty houses
Casa bottega frittariol,house shop fryer
Casa in secondo soler,house on the second floor
Volta numero 20,turn number 20
Bottega di casseller,workshop of cashier
Bottega di Sartor,tailor's workshop
casa con orto appartato,house with secluded garden
Casa vuota era in tre affittanze,empty house was in three leases
Bottega da Fruttarol,fruit shop
bottega da galliner,chicken shop
casa a pepian e in più soleri,house in pepian and in several soleri
casa n. 6 in soler,house no. 6 in soler
bottega masteler,master shop
Stabile grande nominato il Pio Ospital della Ca' del Dio,large building named the pious hospital of the house of god
"Casa, e Bottega da Capeller","house, and hatmaker's shop"
Casa con Corte,house with courtyard
"Casa, et Bottega da Special da Medicine","house, and specialty medicine shop"
Bottega con Volta da Peruchier,shop with vault by peruchier
bottega da peruchier,wig maker's shop
porzione di casa,portion of house
"Casa detta di Ca' Celsi divisa in solari cinque compresa la soffitta, e in camere 24 compresa la soffitta, due delle quali hora sono vuote","house known as Ca' Celsi divided into five solariums including the attic, and into 24 rooms including the attic, two of which are now empty"
Magazino,warehouse
Bottegha e casa fenestrer,shop and windowed house
Appartamento di detta casa,apartment of said house
Casa in soler per suo uso,house in soler for his use
Botteghe 2 da Scaleter e Casa,shops 2 from scaleter and house
Inviamento della stessa Bottega da Malvasia,sending from the same malvasia shop
"Caratti 6 di Casa, e Bottega","6 shares of house, and shop"
"Bottega e volta, altra metà","shop and vault, other half"
altra terra,other land
2 magazeni,2 warehouses
Pallazzo,palace
casa osia camera,house or room
Casa e Bottega da Zavatter,house and cobbler's shop
"Inviamento di detta bottegha, per un terzo","sending of said shop, for a third"
Venerando Monastero di Santa Teresa,venerable monastery of saint teresa
"Casa, et Bottega da Varotter","house, and varotter's workshop"
Altro Bastion per mezo,other bastion for mezzo
bottega da naranzer e magazen,orange shop and warehouse
"Casa numero 5, 6, 7 più mezadi e portion di casa grande","house number 5, 6, 7 plus half-shares and portion of large house"
Casa e bottega di calegher con bottega di sartor,house and cobbler's shop with tailor's shop
"Bottega di Favro, portion","favro's workshop, portion"
"casa in 2 appartamenti, secondo appartamento","house in 2 apartments, second apartment"
"Casa, e Bottega con altra Botteghetta","house, and shop with another small shop"
casa in due porzioni,house in two portions
casa con camera,house with room
Casa e Pistoria,house and bakery
Casa e bottega d atentor,house and workshop of the renter
Magazen ora tagliapietra,warehouse now stonemason
"Casa, Ka' Ottoboni vuota, et per uso delli stessi","house, ka' ottoboni empty, and for use of the same"
Libertà numero 21,freedom number 21
bottega da scaleter,staircase shop
Casa e botega,house and shop
Bottega frurarol,fruarol workshop
Una Volta segnata A,once marked a
Casa e Bottega di Luganegher compresi i Magaseni et altra Casetta  sublocata a Antonio Molin,house and shop of luganegher including the warehouses and another little house sublet to antonio molin
Casa in soler di abitazione abitato dallo stesso,house in residential land inhabited by the same
Bottega da Scaleter e Casa,workshop of the ladder maker and house
Altro appartamento della suddetta Casa,another apartment of the aforementioned house
inviamento bottega di luganegher,sending sausage shop
Volte numero 6 Archivio del Banco del Giro,vault number 6 archive of the bank of the rotation
"Per Cusina, Casetta, ed altri Luoghi","for cusina, small house, and other places"
"camera, della stessa casa precedente","room, of the same previous house"
Casa e Bottegha da Frutarol,house and fruit shop
Magazen e mezadi,warehouses and halves
casa in due soleri con magazen,house in two solar with warehouse
Casa dirocata e vuota,derelict and empty house
"Casa di Residenza et habitata, in Condizione alle Decime del Clero","residential house and inhabited, under the conditions of the clergy's tithes"
simile,similar
inviamento della suddetta Bottega,sending of the aforementioned shop
Scancello che passa al difori,gate that leads outside
Metà di Bottega Galiner,half of bottega galiner
Casa tenuta per Mezadi nova,house held for new half-yearly rent
Casa e Bottega da Formaggier,house and cheese shop
Casa e parte una di forno,house and part one of oven
Casa e Bottega da Marangon,house and workshop of marangon
bottega da specier da confetti,confectionery spice shop
Caseta in soler sopra la detta casa,hut on the ground above the said house
casa a pepian e bottega da tesser,house with pepian and weaving shop
bottega da colori,color shop
Bottega da marangon,carpenter's workshop
Casa Brusà Inabitabile,brusà house uninhabitable
Casa propria per sua abbitazione,own house for his dwelling
Casa con bottega da Special,house with shop by special
Casa Bottega da Barbier,barber's shop house
Casa e bottega a pepiano,house and shop in pepiano
Palazzo con terreno ortivo inaffittato,unleased palace with vegetable garden land
casa per li colonni,house for the columns
"Inviamento di detta bottegha, assiemo con un piccolo inviamento in Terrà","sending of said shop, together with a small sending in land"
terza parte di bottega,third part of the shop
volte tre da diamanter,three times from diamond
Altra porcion di suddetta casa,another portion of the aforementioned house
Camera Locanda delle due Chiavi,room inn of the two keys
"Inviamento, porzione","sending, portion"
Casa e bottega di luganegher con inviamento,house and butcher's shop with sending
Secondo soler della stessa casa,according to the custom of the same house
altra portione di casa e bottega,other portion of house and shop
casa appartamenti 2,house apartments 2
bottega fruttariol,fruit shop
"In detta casa, una camera vacua","in said house, an empty room"
casa e bottega da specier da medicina,house and shop of a medicine dealer
Casa consorti,consortium house
altro magazeno,another warehouse
Bottegha Calegher,cobblers' shop
Libertà innafitate,snow-covered freedoms
soler di sopra di casa,upper floor of the house
altra casa in detta scala,another house on said stairs
bottega da flauti,flute shop
"Casette in due soleri, quali per dispositione testamentaria della quondam Faustina Michiel devono darsi a due Vedove sua vita durante gratis. Soler di sopra","small houses in two solar, which by testamentary disposition of the late faustina michiel must be given to two widows for free during her lifetime. upper solar"
Bottega di capeller,hat shop
stabile serve per bastion da vin,building used for wine bastion
Bottega sive magazen,workshop or warehouse
casa n. 4,house no. 4
inviamento di manda il pane al bastion di San Giovanni e Paolo,sending bread to the bastion of san giovanni and paolo
Casa e bottega di luganegher compreso l'inviamento,house and shop of a sausage maker including the dispatch
Casa in primo soler,house on the first floor
Casa e Bottega da Frutariol,house and fruit seller's shop
Casa di Residenza,residence house
bottega da calderer,coppersmith's shop
"squero, bottega da tagier","shipyard, cutting workshop"
stessa casetta in soler,same little house in soler
Una casa e una caseta e bottega da Galiner,a house and a small house and shop from Galiner
Due botteghette vuote,two empty little shops
Scancello di sicurtà che corisponde con la botega di Carter di Francesco Canal che seguirà,security gate that corresponds with the shop of francesco canal's carter that will follow
casa con soler e quattro camere,house with attic and four rooms
"Casa, e Bottegha da Fenestrer","house, and window shop"
loco de menazami,place of lease
magazen dentro detta bottega,warehouse inside said shop
due altri magazzeni,two other warehouses
casa in due appartamenti,house in two apartments
"Casa in soler di due appartamenti, primo","house in soler of two apartments, first"
Inviamento della suddetta bottega da malvasia,sending of the aforementioned malvasia shop
"casa, appartamento di sopra","house, upstairs apartment"
Botega serve per magazen da negocio,shop used for business storage
Due Maghazeni,two maghazenis
2 botteghe da caffè con volta,2 coffee shops with vault
Casa e Bottegha Tentor,house and tentor workshop
Bottega da remer,shop of the oarsman
"casa in due appartamenti, sopra","house in two apartments, above"
Casetta d'erbarol,herbalist's little house
Un magazen,a warehouse
casa in solari con bottega da casseler,house in solari with shop for casseler
Casa ruinosa,dilapidated house
bottega da lavazer,laundry shop
"Casa in tre soleri, terzo soler","house on three floors, third floor"
portione di casa e bottega da scaleter,portion of house and ladder shop
bottega da panni,cloth shop
scola,school
"Casa, terzo soler porzione","house, third floor portion"
In detta casa soler di sotto vacua,in said house usually vacant below
Casa sotto la Scala,house under the stairs
"Casa in più porzioni, porzione prima","house in multiple portions, first portion"
bottega con scala e casa al piano primo,shop with stairs and house on the first floor
Ospedaletto dirimpetto a Ca' Seriman con sei camerette dispensate per carità,little hospital opposite ca' seriman with six small rooms given out for charity
Appartamento in detta Casa,apartment in said house
Bottega Inaffittata,unleased shop
stanza,room
magazen d'affittar,rental warehouse
casa e bottega da fenester,house and shop with windows
2 libertà di traghetto,2 ferry freedoms
bottega al presente divisa in due,shop currently divided in two
Bottega di Frutariol,frutariol's workshop
Bottega da stramazer,straw mat workshop
portione di casa cioè mezadi e botteghin,portion of house that is halves and small shop
Botegha,workshop
"Terren di due, casette cadute","lands of two, fallen cottages"
Casa con Giardino per loro uso,house with garden for their use
Stabili che presentemente si rifabricano,buildings that are currently being rebuilt
Casa e bottegha de luganegher,house and butcher's shop
Mezzado o casetta di sotto,halfway house or little house below
Casetta in Soler,small house in soler
Casa in soler vuota,empty house on the ground floor
casa in soler e bottega da erbariol,house in soler and herbalist's shop
Casa vuota in una casa di 5 affittanze,empty house in a house of 5 leases
terza parte del palazzo,third part of the palace
Magazen da Libri,bookstore
Due magazeni e casetta,two warehouses and small house
palazzo metà,half palace
Casa in detta Casa,house in said house
Casa con portion di terren,house with portion of land
Bottega da cordarol,rope maker's shop
Casa Dominical serve per uso proprio,dominical house is used for personal use
Bottega di Tesser,weaving workshop
bottega da fabbro e casa,blacksmith's shop and house
bottega e appartamento terzo di casa,shop and third apartment of the house
Casa 5 Affittanze,house 5 leases
Casa e bottega da capeller,house and hat shop
casa in terzo soler,house on third floor
Bottegha da Biave,biave's shop
casa mezza,half house
Ospitale di camere 4,hospital of 4 rooms
magazen senza affitanza,warehouse without lease
Casa in soler e bottegha da fruttarol,house with sunlit yard and fruit seller's shop
"Volte numero 15, 16, 17, 18 Chiuse","turns number 15, 16, 17, 18 closed"
Casa n.16,house no.16
magazini da oglio,oil warehouses
Palazo pe uso di sua signoria illustrissima e reverendissima residente di detta religione,palace for use by his most illustrious and reverend lordship resident of said religion
Casa in soler di sopra,house on the upper floor
bottega da fruttariol,fruit shop
Casa e Bottega da Linariol,house and shop of the linen maker
casa e bottega da varoter,house and shop for rent
magazeno piccolo,small warehouse
Palazzo proprio,own palace
Casa e botteghetta da chiodi,house and little nail shop
Altra simile soler di sopra,another similar habit from above
Casa e Bottega di Calderer,house and shop of calderer
Casa con Bottega di Galiner,house with galiner's shop
casetta a pepian,little house in pepian
Casa e Bottega di oglio,house and oil shop
casette due a pepian,two houses in pepian
"Bottega e volta, per metà",half shop and vault
casa pepian e bottega,pepian house and shop
Due case di Locanda,two inn houses
Bottega da zavater,shoemaker's shop
porzion di bottega,portion of the shop
casa con due botteghe da frutariol,house with two greengrocer's shops
Bottega d Frutariol,fruit stall
portione casa e bottega da sartor,portion of house and tailor's shop
Conservatorio lasciato per carità dal testator,conservatory left for charity by the testator
Botegha Linarol,linarol workshop
"prioraro della famiglia Badoer per dodeci povere, beneficiate dalla famiglia","priest of the badoer family for twelve poor, benefited by the family"
Botega da Mandoler,almond grove shop
casa e bottega da batioro,house and goldbeater's shop
casa terzo soler,third soler house
Casa con magazen,house with storehouse
"Casa Grande in 4 appartamenti, appartamento vuoto","big house in 4 apartments, empty apartment"
Casa in soler ruinosa,ruinous house on the ground
bottega o magazen,shop or warehouse
Cassetta con maghazen,box with warehouse
Casin con Orto,house with garden
Casa in soler da fitar,house to rent in soler
Casa e Bottega da Fruttarol,house and fruit merchant's shop
"Casa, bottega di pistor","house, baker's shop"
Bottega marzer,spice shop
bottega da Orvietano e casa,orvietan's workshop and house
In detta casa di sotto,in the said house below
due case vuote,two empty houses
Casa con ortesello,house with small garden
Casa e Botega zavater,house and cobbler's shop
casa e bottega ed inviamento,house and shop and sending
Casetta in 2 affittanze,small house in 2 leases
casetta di due luoghi,small house of two places
Boteghe numero 14,shops number 14
Casa Sola,single house
Bottega da Beccher con Maghazen,beaker's shop with warehouse
casa n. 23,house no. 23
bottega da tagliapietra,stonecutter's workshop
Casa e bottega da depentor,house and shop of the painter
"Procuratia, per residenza","procuratia, for residence"
Casa e bottega da tentor,house and tentor's shop
cas in soler e orto,house in ground and garden
casa a pepian e bottega,house with pepian and shop
bottega da frutariol con casa a pepian,fruit shop with a house in pepian
magazen inafittato,leased warehouse
Casa e bottega da specier da medicine,house and shop of the spice medicine dealer
"casa, quintol soler, vuota","house, empty quintol soler"
Palazzo di sotto,lower palace
bottega di batti brochette,brochette beating shop
Scola dell'arte dei linaroli detta S. Apollonia,school of the art of linen makers called st. apollonia
"casa in 2 appartamenti, primo appartamento","house in 2 apartments, first apartment"
due case unite con stamperia,two houses united with printing press
"Casa, quarto appartamento","house, fourth apartment"
Bottega da Collori,collori's workshop
bottega da remessi e casa,shop for rentals and house
Casa e Bottega da Calegher,house and cobbler's shop
Inviamento da scaleter,sending from staircase
Bottega di favro con casa,blacksmith's shop with house
Terzo appartamento,third apartment
bastion,bastion
porzione di bottega da chiodi,portion of a nail shop
casa e casetta a pepian,house and small house in pepian
Casa e bottega pegolotto,house and pegolotto workshop
casa e bottega da salumi,house and delicatessen
bottega da capeler con altra botteghetta da fruttarol,hat shop with another small fruit shop
"casa, appartamento di sotto con mezzadi","house, downstairs apartment with mezzanine"
Bottega da Fruttarol e Magazen,fruit seller's workshop and store
Casa e bottega da lasagner,house and lasagna shop
Casa e Bottega da Fruttariol ed altro Botteghin,house and fruit shop with other small shop
Libertà numero 20 vuota,empty freedom number 20
casa in soler con magazen vuoto,house with empty warehouse on the ground floor
casa e casetta,house and cottage
Casa secondo appartamento,house second apartment
Altro Terzo della Suddetta,other third of the aforementioned
Bottega luganegher,sausage shop
casa e porzione di bottega,house and portion of shop
Magazen Serve per Bottega da Becher,warehouse used for a glassware shop
Pistoria con casa,bakery with house
Cortivo e magazino,field and warehouse
indorador,guarantor
bottega di fabro,blacksmith's shop
bottega con volte,shop with vaults
Casa sive appartamento vuoto sopra le scale,house or empty apartment above the stairs
Casa con orto per uso,house with garden for use
Volta numero 26,turn number 26
Botegha d'orese sua propria tenuta per uso,lease of his own estate for use
casa con forno,house with oven
"Porzion di Casa, e 2 Botteghini","portion of house, and 2 small shops"
casa in soler e bottega da specier da medicine,house on the ground and shop of spice and medicine
Saonaria,salt marsh
Restante della suddetta Casa vuota,remaining of the aforementioned empty house
Bottega da fenestrer,window shop
inviamento da frutario,sending from the fruit store
porzione di casa vuota,empty portion of house
caneva del magazen,warehouse blueprint
"Casa e bottega da medicine, e per il posto","house and medicine shop, and for the place"
Altra Porzione della Suddetta Bottega,other portion of the aforementioned shop
Iseppo Barufaldi,iseppo barufaldi
Scuola di San Teodoro,school of san teodoro
Soler di sotto per uso,lower ground for use
"Casa Grande, Soler di Sotto, Soler di Sopra e Casa a latere","big house, lower soler, upper soler and adjacent house"
bottega da luganegher con mezadi,butcher's shop with half lease
Casotto da pesce,fish hut
Bottega da Carnami,leather workshop
Inviamento di furtarol,sending of furtarol
"Casa in soler, et Maghazen","house in ground, and warehouse"
bottega vuota solita da fruttarol,empty shop usually by fruiterer
Casa e Bottega da Indorador,house and gilder's workshop
Magazen da fruttarol,fruit warehouse
"bottega, sotto altra bottega","shop, under another shop"
Casa e Botthegha da Partioro,house and workshop of the gold leaf maker
Camere n°10,rooms n°10
Casa e Maghazen,house and warehouse
Mettà di Bottega da [Tiroche],half of the shop from [tiroche]
casetta in un soler,small house in a plot of land
bottega con loco a pepian,shop with place to rent
bottega barbier,barber shop
bottega da confetti e casa,confetti shop and house
"Casa in soler, primo apartamento","house in soler, first apartment"
Caneva dentro lo stesso Magazen,cellar within the same warehouse
"Casa, terzo appartamento porzione","house, third apartment portion"
banchetto di cavadenti,tooth puller's banquet
Magazeni da fassi,warehouses for barrels
Casa e orticello,house and small vegetable garden
altro appartamento di detta casa,another apartment of said house
appartamento vuoto,empty apartment
"Casa, l'altra metà","house, the other half"
bottega da luganegher con casa in soler,sausage shop with house in attic
"Casa, et Bottega da Marzer","house, and shop from marzer"
"casa in 2 soleri, secondo","house in 2 solar, according to"
Casa e Bottegha da Botter,house and botter's shop
Terzo Appartamento,third apartment
Altra portion di casa,other portion of house
casa e bottega e squero,house and shop and shipyard
hostaria del cavaletto,inn of the little horse
"bottega da frutariol e casa in soler, vuota","fruit shop and house in the attic, empty"
Bottega di tabacco,tobacco shop
"In detta Casa, Altri Apartamenti Rovinosi","in said house, other dilapidated apartments"
Magazeni da biscotto,biscuit warehouses
"Casa in due soleri, il primo","house on two floors, the first"
casa in soler e orto,house in land and garden
una volta che segue per bottega da barbier,once that follows for barber's shop
Botteghe da Narancer e Salumier,grocery and delicatessen shops
"casa in tre soleri e magazen, primo","house in three solariums and warehouse, first"
procuratia,procuracy
"Casa, e Bottega da Fruttariol","house, and fruit seller's shop"
Appartamento di Casa di sopra,upper house apartment
"Casa, bottega e teren da tagliapiera con magazen","house, shop and stonecutter's land with warehouse"
Casa a pepian serve per Magazen,pepian house used for warehouse
casa e bottega da relogier,house and watchmaker's shop
Casa a papiano,house in papiano
palazzo con casino e giardino,palace with casino and garden
casa in tre soler e bottega da pistor,house in three floors and bakery shop
Casa e Forno da pan,house and bread oven
Bottega d'affitar,lease shop
casa pepian e primo soler,pepian house and first sun
casa e bottega da sarotr,house and workshop for tailoring
altro quarto di forno e casa,another quarter of oven and house
Casa presso la Riva comprende Pepian corrispondente alla Bottega serrata presso il Ponte che va a S. Benetto,house near the riva includes pepian corresponding to the closed shop near the bridge that goes to s. benetto
casa compresa bottega di sopressador,house including butcher's shop
Bottegha da biavariol,shop for lease
"Casa, Mezadi","house, halves"
"casa, in faccia ad altra casa","house, facing another house"
Altro appartamento,another apartment
"Botega da Zavatoer e Pepian, dietro ha la porta in calle d'Albanesi","shoemaker and poulterer shop, behind it has the door in albanesi street"
Magazen da Oglio,oglio warehouse
Bottega di biavariol,shop of leaseholders
palazo,palace
Casa e bottega da spicier da confetti con altra di linarol,house and shop from spicier of confetti with another from linarol
Casa Conosrti,consorti house
Due casette a pepian date per habitation senza affitto,two small houses given for habitation without rent
"Bottega, Volta","workshop, vault"
Casetta a pepian et in Soler,small house in pepian and in soler
casa e bottega da frutariol,house and fruit vendor's shop
Casa propria,own house
altro,other
bottega e terra d'allori di vacello,shop and laurel land of calf
"Casa, e Bottegha da Baveller","house, and shop for weaving"
bottega d'affittar,rental shop
Casa propria mettà per uso,house put to use
Inviamento della suddetta,sending of the aforementioned
Palazzo vuoto serviva per suo uso,empty palace served for his use
Altro appartamente di sua ragione,another apartment of his reason
Casa di Residenza del Pievan,residence house of the parish priest
casa pepian et in soler compresa una casetta in calle della Madonna,pepian house and in the plot including a small house in Madonna street
"forno, casa","oven, house"
Bottega di barbier,barber shop
casa e bottega da tester,house and shop to test
Casotto di erbarolo,herbalist's hut
Magazen inaffittato per esser ruinoso,warehouse not rented out because it is in ruins
"Casa, altro appartamento","house, another apartment"
Casa bottega,house shop
due Case in soler,two houses on the ground
inviamento da calegher,sending from shoemaker
posti di panetteria,bakery places
casa e altra casetta,house and another small house
Bottega da Piatti,dish shop
Bottega da Orese,goldsmith's workshop
inviamento di scaleter,sending of staircases
"casa, non si da chi sia","house, it is not known who it is"
Bottega con due volte e magazen,shop with two vaults and warehouse
due picciole camere a pepian,two small rooms in pepian
Casa e Bottega con inviamento da pistor,house and shop with referral from baker
"Casa, quarto soler n.16","house, quarter soler n.16"
bottega e mezza da cartoler,stationery shop and a half
Volte numero 7 servono per libri banco del Giro,times number 7 are needed for giro bank books
Soler di sotto Inafitato,lower ground unfit for lease
casin con magazen,houses with warehouse
casa numero 1,house number 1
"matà casa, metà bottega di medicine","half house, half medicine shop"
Bottegha indorador,gilding workshop
casa inafittabile,unrentable house
bottega di barbier tolta anco da S. Apollinare,barber shop also removed from s. apollinare
Bottega da Biavariol,biavariol's workshop
"casa, metà","house, half"
bottega da norsin,shop from norsin
Casa Inabitata,uninhabited house
"Casa, appartamento di sopra","house, upstairs apartment"
Dieci casette,ten little houses
Inviamento da Pistor,sending from pistor
Casa 4 affittanze,house 4 rents
Due Luoghi interni della bottega di Biavariol,two internal places of biavariol's workshop
Magazen da Fasci,warehouse of bundles
Locanda al scudo Imperial,inn at the imperial shield
Casa vuota,empty house
bottega da acquavite,liquor shop
Maghazen in Calle del Carbon,warehouse in carbon street
Bottega Sive Magazen Inafitatta,shop or warehouse for rent
terza casa,third house
casa e bottega da specier da medicine,house and shop for spice and medicine sellers
Due case vuote,two empty houses
porzione di casa vicina,nearby portion of the house
bottega da spezier da grosso e casa in due soleri,wholesale spice shop and house on two floors
Casa e Bothega Luganegher,house and sausage maker's shop
Botega da Batioro,goldbeater's shop
banchetto,banquet
bottega di varoter,rope maker's shop
pistoria con casa,bakery with house
Casin con giardin per uso,houses with gardens for use
bottega da secher e casa in due soler,workshop for drying and house on two floors
luoco a pepian,place in pepian
Casa in due solarii,house in two solariums
Casa e Bottega da Luganegher,house and butcher's shop
casptto tavole erbarol,chapter tables of herbals
Case,houses
bottega di indorador,gilder's workshop
Inviamento di Frutarol,sending of frutarol
"casa, quarto soler in tre soleri, con due magazzeni in orto","house, quarter soler in three soleri, with two warehouses in garden"
Volta Prima Verso il Ponte,first turn towards the bridge
Bottega ed inviamente da zavater,shop and shipment from cobbler
Bottega da spechier,mirror shop
Portion di dette due case,portion of said two houses
Magazen d'Oglio,oil warehouse
casa e bottega d'affitar,house and rental shop
Casa e botega da chiodi,house and nail shop
Inviamento di detto Piero,sending of said piero
Casa et Bottega,house and shop
Palazzo vuoto,empty palace
posta di Este,este mail
casa e due botteghe,house and two shops
"Casa in due soleri, soler di sotto","house in two solariums, lower solarium"
casa del titolo sudiaconale di San Moisè,house of the subdiaconal title of San Moisè
Casa soler di sotto,lower house of soler
casa metà con magazeno,half house with warehouse
Casa in soler in sei affittanze,house in ground rent in six leases
due magazeni vuoti,two empty warehouses
Camera in soler,room in the attic
casa cadente vuota,empty falling house
Bottega da seler,saddler's shop
"Casa, proprietà appartamento di sotto","house, property, downstairs apartment"
casa solaro di sopra,upper sun house
magazen serve per li contrabandi,warehouse used for smuggling
mezza casa,half house
Casa di lor raggione e per lor uso,house of their reason and for their use
statio da moza,moza station
Casa propria per suo uso,own house for his use
Fontego da farina,flour warehouse
Casa e Bottega oglio,house and shop oil
altro appartamento della stessa casa,another apartment in the same house
casa e bottega e magazen,house and shop and warehouse
"casa, squero","house, shipyard"
Magazen da fasci,warehouse of bundles
altra porzione,another portion
Portion dell'altra metà della detta casa,portion of the other half of the said house
Casa Grande in due soleri,large house in two floors
Camere 2 e cusina,2 rooms and kitchen
"Pallazzo, appartamento di sopra","palace, upstairs apartment"
"casa, secondo soler, camera, vuota","house, according to custom, room, empty"
"casa, disse per carità","house, he said for charity"
Altra Porzione di detto Appartamento,another portion of said apartment
casette della carità,charity houses
magazenetto per uso di Fabbrica,small warehouse for factory use
Bottega da Frutalor,fruit shop
Casa propria per uso,own house for use
Bottega da fruttariol,fruit shop
Bottegha da Fruttarol serve per proprio uso,fruttarol's shop serves for personal use
bottega da pistor con casa in soler,bakery with house in loft
casa e magazeni casetta e orto,"house and warehouses, small house and garden"
libertà,freedom
Casa propria et di habitatione,own house and habitation
"Casa in 3 soleri, vuota","house in 3 soleri, empty"
bottega da stopie e casa in tre soleri,shop of footprints and house in three floors
"casa in due soler, secondo","house in two floors, according to"
Portion di casa di sua raggione e per suo uso,portion of his house for his reason and for his use
Casagrande,large house
Libertà numero 19,freedom number 19
Magazen da Cordoani,warehouse of cordwainers
altro soler in tre luochi,another plot in three places
"Bottega di marzer, er casa in soler","shop of marzer, house in soler"
Pallazzo con orto,palace with garden
squero,shipyard
casa con orto d'affittar,house with garden for rent
"Casa, secondo appartamento con magazen","house, second apartment with storage"
bottega da strazariol,strazariol's shop
Magazen all'entrada,warehouse at the entrance
Inviamento da fruttarol,sending from fruttarol
Casa in 2 affittazne,house in 2 leases
"casa, bottega linariol","house, linariol shop"
bottega da biavariol,boatmaker's workshop
Bottega da Sartor,tailor's shop
Casa di Ressidenza,residence house
Casa in soler voda,house in soler water
Magazen da Astori,warehouse of astori
bastion con una casa confinata,bastion with an adjoining house
Casa et botegha,house and shop
"Terzi due di Casa, e Bottega","two thirds of the house, and shop"
"Casa in molte affittanza, seu porzioni, porzione","house in many rentals, or portions, portion"
casa e bottega da galliner,house and chicken shop
Bottega furtarol,furtarol workshop
bottega serve da magazen,the shop is used as storage
Casotto da fasci,hut from bundles
"Bottega e volta, porzione","workshop and vault, portion"
"Casa, secondo appartamento e magazzino","house, second apartment and warehouse"
case date gratis,houses given for free
"casa, quarto appartamento","house, fourth apartment"
"Casa, e Bottega da Lasagner","house, and lasagner's shop"
"Casa, et bottega con inviamento da colori","house, and shop with color shipment"
Bottega da Coridoro,corridor workshop
"Casa, et Bottega da Strazzarol","house, and shop from strazzarol"
soler di sotto e due magazeni,lower barn and two warehouses
"Casa con molte affittanze, numero 6 vuota","house with many rentals, number 6 empty"
Bottega da orese,goldsmith's shop
Posto del pirier,place of the pear tree
Casetta in Soler e Due a pepian,small house in soler and two in pepian
"Casa e bottega da luganiegher, et altro botteghin da calegher","house and butcher's shop, and another small shoemaker's shop"
Casa Reduzione,house reduction
"casa, quarto soler, cameretta","house, sunny room, small bedroom"
"Casa in due appartamenti in soler pubblica, primo","house in two apartments in public solar, first"
bottega da muschier  e soler e casa in soler,shop for chiseler and cobbler and house on the ground floor
Casa con casetta,house with cottage
Per altra Porzione di Palazzo,for another portion of palace
diverse case,various houses
Volta numero 4,turn number 4
Casa in 5 Affittanze,house in 5 leases
Inviamento della suddetta Bottega di Naranzer,sending of the aforementioned orange shop
bottega da tesser e casa,weaving shop and house
Casa uso proprio,own use house
Altra casa in soler sopra il Ponte della Pietà,another house on the plot above the bridge of piety
Case numero 2 derocate,house number 2 stolen
"casa, quinto appartamento","house, fifth apartment"
Casa e Bottega da Calleger,house and shop from calleger
casa a pepian,house in pepian
casa e bottega di tentor,house and tentor's shop
"Casa e Forno, carati 12","house and oven, 12 carats"
altra portione di magazen,other portion of warehouse
inviamento della bottega da malvasia,sending of the malvasia shop
casetto erbarol,herbalist's hut
"Appartamento di Casa, e Magazen","house apartment, and warehouse"
Osteria,tavern
Inviamento erbarol,sending herb roll
Priorato di San Pietro e Paolo,priory of saints peter and paul
casa e bottega vuota,empty house and shop
Casa mettà,put house
Altra Porzione della Sudetta,other portion of the aforementioned
Inviamento da calegher,sending from the shoemaker
